permit_number,outfall_number,parameter_code,parameter_name,limit_type,limit_value,unit,review_status
WV0060216,002,01045,"Iron, Total",daily_max,1.64,mg/L,pending_review
WV0060216,002,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV0060216,001,01045,"Iron, Total",daily_max,3,mg/L,pending_review
WV0060216,001,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV0062961,003,01148,"Selenium, Dry Weight",daily_max,8,mg/kg,pending_review
WV1008552,004,01045,"Iron, Total",daily_max,5.26,mg/L,pending_review
WV1008552,004,01055,"Manganese, Total",daily_max,2,mg/L,pending_review
WV1008552,004,00530,Total Suspended Solids,daily_max,70,mg/L,pending_review
WV1008552,004,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1008552,004,01105,"Aluminum, Total",daily_max,0.75,mg/L,pending_review
WV1008552,004,00400,pH,daily_max,9,SU,pending_review
WV1024230,001,01045,"Iron, Total",daily_max,0.95,mg/L,pending_review
WV1024230,001,01055,"Manganese, Total",daily_max,4,mg/L,pending_review
WV1024230,001,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1024230,001,01105,"Aluminum, Total",daily_max,6,mg/L,pending_review
WV1021338,015,01045,"Iron, Total",daily_max,1.42,mg/L,pending_review
WV1021338,015,01055,"Manganese, Total",daily_max,2,mg/L,pending_review
WV1021338,015,01105,"Aluminum, Total",daily_max,0.08,mg/L,pending_review
WV1021338,001,01045,"Iron, Total",daily_max,3.69,mg/L,pending_review
WV1021338,001,01055,"Manganese, Total",daily_max,3.47,mg/L,pending_review
WV1021338,001,01105,"Aluminum, Total",daily_max,0.036,mg/L,pending_review
WV1021338,016,01045,"Iron, Total",daily_max,1.22,mg/L,pending_review
WV1021338,016,01055,"Manganese, Total",daily_max,3.47,mg/L,pending_review
WV1021338,016,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
WV1021338,016,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1021338,016,01105,"Aluminum, Total",daily_max,0.43,mg/L,pending_review
WV1021338,016,00400,pH,daily_max,9,SU,pending_review
WV1021338,004,01045,"Iron, Total",daily_max,2.13,mg/L,pending_review
WV1021338,004,01055,"Manganese, Total",daily_max,2,mg/L,pending_review
WV1021338,004,01105,"Aluminum, Total",daily_max,0.036,mg/L,pending_review
WV1021338,003,01045,"Iron, Total",daily_max,2.13,mg/L,pending_review
WV1021338,003,01055,"Manganese, Total",daily_max,3.47,mg/L,pending_review
WV1021338,003,01105,"Aluminum, Total",daily_max,0.036,mg/L,pending_review
WV1021338,006,01045,"Iron, Total",daily_max,2.35,mg/L,pending_review
WV1021338,006,01055,"Manganese, Total",daily_max,3.47,mg/L,pending_review
WV1021338,006,01105,"Aluminum, Total",daily_max,0.14,mg/L,pending_review
WV1021338,012,01045,"Iron, Total",daily_max,1.42,mg/L,pending_review
WV1021338,012,01055,"Manganese, Total",daily_max,2,mg/L,pending_review
WV1021338,012,01105,"Aluminum, Total",daily_max,0.14,mg/L,pending_review
WV1021338,011,01045,"Iron, Total",daily_max,0.09,mg/L,pending_review
WV1021338,011,01055,"Manganese, Total",daily_max,2,mg/L,pending_review
WV1021338,011,01105,"Aluminum, Total",daily_max,0.22,mg/L,pending_review
WV1021338,013,01045,"Iron, Total",daily_max,5.26,mg/L,pending_review
WV1021338,013,01055,"Manganese, Total",daily_max,3.47,mg/L,pending_review
WV1021338,013,01105,"Aluminum, Total",daily_max,0.14,mg/L,pending_review
WV1021338,014,01045,"Iron, Total",daily_max,5.26,mg/L,pending_review
WV1021338,014,01055,"Manganese, Total",daily_max,2,mg/L,pending_review
WV1021338,014,01105,"Aluminum, Total",daily_max,0.14,mg/L,pending_review
WV1021338,010,01045,"Iron, Total",daily_max,0.09,mg/L,pending_review
WV1021338,010,01055,"Manganese, Total",daily_max,2,mg/L,pending_review
WV1021338,010,01105,"Aluminum, Total",daily_max,0.22,mg/L,pending_review
WV1021338,002,01045,"Iron, Total",daily_max,3.69,mg/L,pending_review
WV1021338,002,01055,"Manganese, Total",daily_max,2,mg/L,pending_review
WV1021338,002,01105,"Aluminum, Total",daily_max,0.02,mg/L,pending_review
WV1021338,008,01045,"Iron, Total",daily_max,0.15,mg/L,pending_review
WV1021338,008,01055,"Manganese, Total",daily_max,3.47,mg/L,pending_review
WV1021338,008,01105,"Aluminum, Total",daily_max,0.13,mg/L,pending_review
WV1021338,005,01045,"Iron, Total",daily_max,4.07,mg/L,pending_review
WV1021338,005,01055,"Manganese, Total",daily_max,3.47,mg/L,pending_review
WV1021338,005,01105,"Aluminum, Total",daily_max,0.08,mg/L,pending_review
WV1021338,009,01045,"Iron, Total",daily_max,0.09,mg/L,pending_review
WV1021338,009,01055,"Manganese, Total",daily_max,2,mg/L,pending_review
WV1021338,009,01105,"Aluminum, Total",daily_max,0.22,mg/L,pending_review
WV1021338,007,01045,"Iron, Total",daily_max,0.15,mg/L,pending_review
WV1021338,007,01055,"Manganese, Total",daily_max,2,mg/L,pending_review
WV1021338,007,01105,"Aluminum, Total",daily_max,0.13,mg/L,pending_review
WV1008838,002,00530,Total Suspended Solids,daily_max,70,mg/L,pending_review
WV1008838,001,01055,"Manganese, Total",daily_max,2,mg/L,pending_review
WV1008838,001,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
KYGE40999,204,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40999,204,00400,pH,daily_max,6,SU,pending_review
KYGE40999,206,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40999,206,00400,pH,daily_max,6,SU,pending_review
KYGE40999,203,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40999,203,00400,pH,daily_max,6,SU,pending_review
KYGE40999,202,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
KYGE40999,202,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40999,202,00400,pH,daily_max,6,SU,pending_review
KYGE40999,205,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40999,205,00400,pH,daily_max,6,SU,pending_review
KYGE40999,313,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
KYGE40999,313,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40999,313,01148,"Selenium, Dry Weight",daily_max,8.6,mg/kg,pending_review
KYGE40999,313,00400,pH,daily_max,6,SU,pending_review
KYGE40999,207,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
KYGE40999,207,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40999,207,00400,pH,daily_max,6,SU,pending_review
KYGE40999,201,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
KYGE40999,201,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40999,201,00400,pH,daily_max,6,SU,pending_review
WV1026003,002,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1026003,001,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1018779,013,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1018779,003,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1018779,007,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1018779,012,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1018779,009,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1018779,004,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1018779,006,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1018779,011,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1018779,014,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1018779,008,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1018779,010,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1018779,005,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1006304,011,01055,"Manganese, Total",daily_max,2,mg/L,pending_review
WV1006304,011,01105,"Aluminum, Total",daily_max,0.44,mg/L,pending_review
WV1025911,006,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1025911,001,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1025911,002,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1025911,005,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1025911,003,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1025911,004,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1024442,025,01045,"Iron, Total",daily_max,1.64,mg/L,pending_review
WV1024442,025,01055,"Manganese, Total",daily_max,4,mg/L,pending_review
WV1024442,025,01105,"Aluminum, Total",daily_max,0.14,mg/L,pending_review
WV1018663,002,01045,"Iron, Total",daily_max,5.26,mg/L,pending_review
WV1018663,002,01055,"Manganese, Total",daily_max,2,mg/L,pending_review
WV1018663,002,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1018663,002,01105,"Aluminum, Total",daily_max,6,mg/L,pending_review
WV1018698,002,01105,"Aluminum, Total",daily_max,0.43,mg/L,pending_review
WV1018698,001,01105,"Aluminum, Total",daily_max,0.43,mg/L,pending_review
WV1018698,003,01055,"Manganese, Total",daily_max,2,mg/L,pending_review
WV1018698,003,01105,"Aluminum, Total",daily_max,0.75,mg/L,pending_review
WV1021117,001,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40840,003,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
KYGE40840,003,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40840,003,00400,pH,daily_max,6,SU,pending_review
KYGE40840,002,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
KYGE40840,002,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40840,002,00400,pH,daily_max,6,SU,pending_review
KYGE40840,001,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40840,001,00400,pH,daily_max,6,SU,pending_review
WV1023781,001,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1026861,001,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1005774,001,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1024124,001,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1027913,003,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1027913,002,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1027913,001,61426,"Toxicity, Chronic Ceriodaphnia",daily_max,1.64,tox chronic,pending_review
WV1027913,001,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1027891,001,61426,"Toxicity, Chronic Ceriodaphnia",daily_max,0.82,tox chronic,pending_review
WV1027891,001,01045,"Iron, Total",daily_max,0.88,mg/L,pending_review
KYGE40869,051,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,051,00400,pH,daily_max,6,SU,pending_review
