id,npdes_id,severity,description,internal_value,external_value,detected_at
1cb74e21-31ff-48aa-bdc0-adf386cc754a,AL0062693,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,2026-07-02T22:26:13.150073+00:00
aa9b670d-02e1-4f60-8bd9-207949b19ab6,AL0062693,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,2026-07-02T22:25:19.29538+00:00
23dc05b8-671d-4128-80da-58269b3481b8,AL0072991,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:26:29.284889+00:00
60d43ecf-28f4-4507-9168-f3eec61c2a09,AL0073920,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:26:34.478306+00:00
d9028aa9-2c56-4006-b0d9-559cff75b600,AL0073962,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:26:56.704573+00:00
2a67e30b-8b3b-474f-b957-b74175e5489a,AL0078026,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:27:13.278243+00:00
2d8a2d08-d7e2-41a4-b817-5aa9b24d3ea9,AL0078867,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,2026-07-02T22:27:16.357282+00:00
f0ca5285-b2d5-4ada-bf9c-f8ed6a9f5648,AL0080071,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:27:19.559968+00:00
d15e338a-022f-466b-8dc1-b87358591e2d,KY0094510,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:27:22.430878+00:00
c2067974-54c3-484f-93c7-09e0637cffe7,KY0094510,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:47:35.946973+00:00
7a9605b0-a79c-4fb6-8aa2-a40dca8cc8fc,KYGE40958,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:28:51.333347+00:00
7cbf0b87-20d8-4de2-a0b3-e9b115b0c951,KYGE40999,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:29:15.834543+00:00
8707c057-6c1d-427b-8d75-0285ffade343,TN0043222,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:29:25.032316+00:00
a91147fc-3c9d-485b-bcf2-d1746662ac17,TN0046647,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:29:28.002639+00:00
3a87f84c-710d-418b-a877-95e555c5624f,TN0051918,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:29:34.283595+00:00
666987df-3b56-4a0a-b0f5-2b4b1dab31a6,TN0052531,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:29:37.31315+00:00
4335f6ab-6d93-4c73-8b37-63e4b460be05,TN0052965,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:29:40.512293+00:00
03c27ce3-4da2-4241-b569-1a1e769472be,TN0063592,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:29:43.350635+00:00
42cb3ea1-2d87-46b8-a3e5-42b03fd8451f,TN0069159,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:29:46.769191+00:00
dc7d1cdd-b37d-48db-9212-ce2480d4fc59,TN0071307,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:29:52.623385+00:00
3be08121-5f96-44eb-9e69-b110697fedea,TN0071803,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:29:55.665819+00:00
e19d2746-b77f-44f8-b135-97ad90550992,TN0072168,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:29:58.747832+00:00
9ecc7c9d-4b6d-4605-b6af-e41fe6cd5582,TN0072419,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:30:01.783308+00:00
2421fb04-cc65-44a5-b16f-d4a2ac63e9e1,TN0072729,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:30:04.906241+00:00
aaefc30b-0a10-48a4-84bf-7357ea06fa89,TN0076180,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:30:07.986416+00:00
e2b1a7f6-8d46-4b93-b494-76b04993a01c,TN0076368,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:30:11.106967+00:00
5bd160a2-57f2-4136-b2d2-063e302b3e89,TN0079120,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:30:17.127838+00:00
8d543ab5-a9f3-409c-bcbe-091a6fe032ce,TN0079308,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:30:23.329372+00:00
14751522-6b6f-4ad6-a4ca-f7ea4f7599f0,TN0079502,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:30:26.479947+00:00
53cd86c9-488c-4ab5-874e-a47242910320,TN0079529,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:30:29.504566+00:00
a1910236-5c48-47fe-a4aa-d05124d27e35,TN0079561,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:30:32.911785+00:00
392aca5e-d431-4d62-b60d-7cb3c55005ec,TN0079570,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:30:35.66496+00:00
275ea9a7-c410-4e4c-a729-a6eb4b279cc2,VA0082058,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,2026-07-02T22:31:09.393098+00:00
93a1fe26-0084-4eb3-9d9a-fc8d5b8c4f28,WV1018698,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:32:41.248984+00:00
769276b1-846a-4f92-bf06-88de3ddb1762,WV1021061,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,2026-07-02T22:33:09.405223+00:00
77fe7390-46e9-4784-a7d3-50e2e6a0620c,WV1021117,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:33:19.728209+00:00
1cb4da6b-f873-43cb-a790-81a1b69984d4,WV1024361,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Expired; Compliance Tracking Off""",active,Expired; Compliance Tracking Off,2026-07-02T22:34:04.154366+00:00
bef108a2-7f75-4f00-94ae-31cc1befa2a9,WV1025911,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,2026-07-02T22:34:10.381015+00:00
