classification,mapped_internal_status,automation_note,id,npdes_id,source,severity,description,internal_value,external_value,internal_source_table,internal_source_id,external_source_id,detected_at,reviewed_at,updated_at,dismiss_reason,review_notes,recurrence_count
dismiss_with_note,active,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,d9028aa9-2c56-4006-b0d9-559cff75b600,AL0073962,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,npdes_permits,5133b885-1c20-457b-b1da-943dec7417eb,622e3af1-48da-42bb-858a-9ab9ec3facff,2026-07-02T22:26:56.704573+00:00,2026-07-03T21:23:46.218+00:00,2026-07-03T21:23:46.218+00:00,Internal status already matches ECHO semantic status,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,1
dismiss_with_note,active,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,f0ca5285-b2d5-4ada-bf9c-f8ed6a9f5648,AL0080071,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,npdes_permits,5b2f20c7-61c9-49ec-ac02-c5edf823f2b3,1cc9e3db-08dd-416e-8446-6adf7686e7b4,2026-07-02T22:27:19.559968+00:00,2026-07-03T21:23:46.218+00:00,2026-07-03T21:23:46.218+00:00,Internal status already matches ECHO semantic status,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,1
dismiss_with_note,active,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,d15e338a-022f-466b-8dc1-b87358591e2d,KY0094510,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,npdes_permits,3fd91218-646a-467c-aee9-2c4b79a53928,3f5cd9f4-d868-4fd8-8e21-4494785aa4af,2026-07-02T22:27:22.430878+00:00,2026-07-03T21:23:46.218+00:00,2026-07-03T21:23:46.218+00:00,Internal status already matches ECHO semantic status,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,1
dismiss_with_note,active,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,c2067974-54c3-484f-93c7-09e0637cffe7,KY0094510,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,npdes_permits,3fd91218-646a-467c-aee9-2c4b79a53928,3f5cd9f4-d868-4fd8-8e21-4494785aa4af,2026-07-02T22:47:35.946973+00:00,2026-07-03T21:23:46.218+00:00,2026-07-03T21:23:46.218+00:00,Internal status already matches ECHO semantic status,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,1
dismiss_with_note,active,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,7de34d9f-5c0f-4ad9-9c57-1e53833ea4ed,KY0106151,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,npdes_permits,c6c36241-6231-4969-8fbc-bc630695d64d,e4c95923-b789-434d-af24-e7f65eabf1e1,2026-07-02T22:27:25.722799+00:00,2026-07-03T21:23:46.218+00:00,2026-07-03T21:23:46.218+00:00,Internal status already matches ECHO semantic status,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,1
dismiss_with_note,active,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,eba72d12-79e0-4108-add0-667ed3acf6dd,TN0049964,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,npdes_permits,bb78141d-2cf4-4e87-b843-a0290faa41df,552617ed-76bc-4f07-9093-48d960a5ab62,2026-07-02T22:29:31.209042+00:00,2026-07-03T21:23:46.218+00:00,2026-07-03T21:23:46.218+00:00,Internal status already matches ECHO semantic status,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,1
dismiss_with_note,active,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,b5b72b36-b9f2-4e00-9c98-bde2898dba63,TN0069175,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,npdes_permits,9f2c29a0-3d39-4bda-97bd-c1a7671ad48e,2d279f27-d49d-42aa-916a-b6fd7af85f23,2026-07-02T22:29:49.532817+00:00,2026-07-03T21:23:46.218+00:00,2026-07-03T21:23:46.218+00:00,Internal status already matches ECHO semantic status,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,1
dismiss_with_note,active,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,85ad5d1b-cb92-46ab-a69d-5004003c5054,TN0079294,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,npdes_permits,750556f9-b6fa-41bd-b4af-1859457911c8,7e375397-a568-4dd9-ad68-149d907a36e6,2026-07-02T22:30:20.202566+00:00,2026-07-03T21:23:46.218+00:00,2026-07-03T21:23:46.218+00:00,Internal status already matches ECHO semantic status,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,1
dismiss_with_note,active,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,732c2bdd-d4e9-4c8e-969c-1f25bb1fe814,WV0060216,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,npdes_permits,104e153b-87c7-42a8-b534-69fbf5de275c,44bd0060-b2f7-45ca-aac4-fc5ce9668ffe,2026-07-02T22:31:15.543017+00:00,2026-07-03T21:23:46.218+00:00,2026-07-03T21:23:46.218+00:00,Internal status already matches ECHO semantic status,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,1
dismiss_with_note,active,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,329aa3bb-00ca-49a4-9389-ce4b1527a617,WV0062961,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,npdes_permits,171b34b1-3165-46a8-a5cf-81a1734b42c5,123f0638-24d2-45d7-9c8e-454d078c7d62,2026-07-02T22:31:18.588238+00:00,2026-07-03T21:23:46.218+00:00,2026-07-03T21:23:46.218+00:00,Internal status already matches ECHO semantic status,Auto-dismissed by Slice 4 closeout: ECHO permit_status maps to the current internal npdes_permits.status; no permit lifecycle change required.,1
