permit_number,npdes_id,state_code,confidence,confirmation_basis,confirmation_reference,review_status,category,source_reference,notes
0081742,VA0081742,VA,CANDIDATE,va_deq_ceds,TODO: VA DEQ CEDS or VPDES PDF cite confirming 0081742 maps to VA0081742,needs_state_conflation_review,va_bare_008_series,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA bare 008-series; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c and ambiguous IDs,Candidate is prefix restoration only. The May gap report left the federal ID blank pending VPDES PDF or VA DEQ CEDS confirmation.
0081800,VA0081800,VA,CANDIDATE,va_deq_ceds,TODO: VA DEQ CEDS or VPDES PDF cite confirming 0081800 maps to VA0081800,needs_vpdes_confirmation,va_bare_008_series,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA bare 008-series; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c and ambiguous IDs,Candidate is prefix restoration only. The May gap report left the federal ID blank pending VPDES PDF or VA DEQ CEDS confirmation.
0081918,VA0081918,VA,CANDIDATE,va_deq_ceds,TODO: VA DEQ CEDS or VPDES PDF cite confirming 0081918 maps to VA0081918,needs_twin_dedupe_confirmation,va_bare_008_series,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA bare 008-series; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c and ambiguous IDs,Candidate is prefix restoration only. The May gap report left the federal ID blank pending VPDES PDF or VA DEQ CEDS confirmation.
0081954,VA0081954,VA,CANDIDATE,va_deq_ceds,TODO: VA DEQ CEDS or VPDES PDF cite confirming 0081954 maps to VA0081954,needs_twin_dedupe_confirmation,va_bare_008_series,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA bare 008-series; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c and ambiguous IDs,Candidate is prefix restoration only. The May gap report left the federal ID blank pending VPDES PDF or VA DEQ CEDS confirmation.
0081975,VA0081975,VA,CANDIDATE,va_deq_ceds,TODO: VA DEQ CEDS or VPDES PDF cite confirming 0081975 maps to VA0081975,needs_vpdes_confirmation,va_bare_008_series,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA bare 008-series; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c and ambiguous IDs,Candidate is prefix restoration only. The May gap report left the federal ID blank pending VPDES PDF or VA DEQ CEDS confirmation.
0082052,VA0082052,VA,CANDIDATE,va_deq_ceds,TODO: VA DEQ CEDS or VPDES PDF cite confirming 0082052 maps to VA0082052,needs_vpdes_confirmation,va_bare_008_series,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA bare 008-series; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c and ambiguous IDs,Candidate is prefix restoration only. The May gap report left the federal ID blank pending VPDES PDF or VA DEQ CEDS confirmation.
0082053,VA0082053,VA,CANDIDATE,va_deq_ceds,TODO: VA DEQ CEDS or VPDES PDF cite confirming 0082053 maps to VA0082053,needs_vpdes_confirmation,va_bare_008_series,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA bare 008-series; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c and ambiguous IDs,Candidate is prefix restoration only. The May gap report left the federal ID blank pending VPDES PDF or VA DEQ CEDS confirmation.
0082071,VA0082071,VA,CANDIDATE,va_deq_ceds,TODO: VA DEQ CEDS or VPDES PDF cite confirming 0082071 maps to VA0082071,needs_twin_dedupe_confirmation,va_bare_008_series,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA bare 008-series; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c and ambiguous IDs,Candidate is prefix restoration only. The May gap report left the federal ID blank pending VPDES PDF or VA DEQ CEDS confirmation.
0082094,VA0082094,VA,CANDIDATE,va_deq_ceds,TODO: VA DEQ CEDS or VPDES PDF cite confirming 0082094 maps to VA0082094,needs_vpdes_confirmation,va_bare_008_series,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA bare 008-series; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c and ambiguous IDs,Candidate is prefix restoration only. The May gap report left the federal ID blank pending VPDES PDF or VA DEQ CEDS confirmation.
1102003,VA0082003,VA,CANDIDATE,cd_attachment_f,TODO: CD Attachment F or VA DEQ CEDS cite pairing SMCRA 1102003 to VA0082003,needs_dmlr_pairing_confirmation,va_bare_dmlr,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA bare DMLR; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,Proposed from the observed VA SMCRA to VPDES digit pattern. Do not promote without a source row pairing the DMLR permit to the federal VPDES ID.
1602068,VA0082068,VA,CANDIDATE,cd_attachment_f,TODO: CD Attachment F or VA DEQ CEDS cite pairing SMCRA 1602068 to VA0082068,needs_dmlr_pairing_confirmation,va_bare_dmlr,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA bare DMLR; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,Proposed from the observed VA SMCRA to VPDES digit pattern. Do not promote without a source row pairing the DMLR permit to the federal VPDES ID.
VA0081554,VA0081554,VA,CANDIDATE,operator_deq_signoff,TODO: Operator or VA DEQ sign-off confirming VA0081554 is SCC federal VPDES,needs_identity_confirmation,va_valid_format_unconfirmed,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA valid-format unconfirmed; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,"Permit number is already valid federal VPDES format, but local evidence did not confirm it in CD Attachment F Q1-Q3 or ECHO. Promote only after operator, DEQ, CEDS, or permit PDF confirmation."
VA0081916,VA0081916,VA,CANDIDATE,operator_deq_signoff,TODO: Operator or VA DEQ sign-off confirming VA0081916 is SCC federal VPDES,needs_identity_confirmation,va_valid_format_unconfirmed,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA valid-format unconfirmed; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,"Permit number is already valid federal VPDES format, but local evidence did not confirm it in CD Attachment F Q1-Q3 or ECHO. Promote only after operator, DEQ, CEDS, or permit PDF confirmation."
VA0081917,VA0081917,VA,CANDIDATE,operator_deq_signoff,TODO: Operator or VA DEQ sign-off confirming VA0081917 is SCC federal VPDES,needs_identity_confirmation,va_valid_format_unconfirmed,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA valid-format unconfirmed; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,"Permit number is already valid federal VPDES format, but local evidence did not confirm it in CD Attachment F Q1-Q3 or ECHO. Promote only after operator, DEQ, CEDS, or permit PDF confirmation."
VA0081918,VA0081918,VA,CANDIDATE,operator_deq_signoff,TODO: Operator or VA DEQ sign-off confirming VA0081918 is SCC federal VPDES,needs_twin_dedupe_confirmation,va_valid_format_unconfirmed,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA valid-format unconfirmed; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,"Permit number is already valid federal VPDES format, but local evidence did not confirm it in CD Attachment F Q1-Q3 or ECHO. Promote only after operator, DEQ, CEDS, or permit PDF confirmation."
VA0081949,VA0081949,VA,CANDIDATE,operator_deq_signoff,TODO: Operator or VA DEQ sign-off confirming VA0081949 is SCC federal VPDES,needs_identity_confirmation,va_valid_format_unconfirmed,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA valid-format unconfirmed; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,"Permit number is already valid federal VPDES format, but local evidence did not confirm it in CD Attachment F Q1-Q3 or ECHO. Promote only after operator, DEQ, CEDS, or permit PDF confirmation."
VA0081954,VA0081954,VA,CANDIDATE,operator_deq_signoff,TODO: Operator or VA DEQ sign-off confirming VA0081954 is SCC federal VPDES,needs_twin_dedupe_confirmation,va_valid_format_unconfirmed,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA valid-format unconfirmed; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,"Permit number is already valid federal VPDES format, but local evidence did not confirm it in CD Attachment F Q1-Q3 or ECHO. Promote only after operator, DEQ, CEDS, or permit PDF confirmation."
