State,NPDES_ID,Has_EPA_Data,Facility_Name,Permit_Status,Compliance_Status,DMR_Records,Violations,Issue
AL,AL0062693,YES,MINE NO. 2,Admin Continued,No Violation Identified,593,48,
AL,AL0072991,YES,HENAGAR MINE,Terminated,Terminated Permit,0,0,
AL,AL0073920,YES,MINE NO. 1,Terminated,Terminated Permit,0,0,
AL,AL0073962,YES,GLADE PREPARATION PLANT,Effective,No Violation Identified,924,72,
AL,AL0078026,YES,MINE NO. 3,Terminated,Terminated Permit,0,0,
AL,AL0078867,YES,POORE MINE,Admin Continued,No Violation Identified,0,0,
AL,AL0080071,YES,CRANE CENTRAL MINE,Effective,No Violation Identified,778,92,
KY,KY0094510,YES,KENTUCKY FUEL CORP (860-8020),Effective,Violation Identified,900,188,
KY,KY0106151,YES,A & G COAL CORP (867-0498),Effective,SNC,3167,2933,
KY,KYGE40000,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40094,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40246,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40398,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40646,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40649,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40652,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40659,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40670,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40695,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40710,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40714,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40721,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40722,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40725,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40740,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40759,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40840,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40853,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40869,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40874,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40875,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40894,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40899,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40904,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40923,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40925,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40958,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40964,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40967,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40976,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40977,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40979,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40992,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40998,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE40999,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE41143,NO,,,,0,0,General permit - not tracked individually in ECHO
KY,KYGE41174,NO,,,,0,0,General permit - not tracked individually in ECHO
TN,TN0043222,YES,BALDWIN LOADOUT TIPPLE,Expired,No Violation Identified,376,17,
TN,TN0046647,YES,S & H MINING INC. - DEEP MINE 2,Terminated,No Violation Identified,0,0,
TN,TN0049964,YES,PREMIUM COAL - BALDWIN PLANT/REFUSE IMPOUNDMENT 3,Effective,SNC,1716,56,
TN,TN0051918,YES,PREMIUM COAL COMPANY INC.,Expired,Violation Identified,1042,5,
TN,TN0052531,YES,S & H MINING INC.,Terminated,Terminated Permit,0,0,
TN,TN0052965,YES,PREMIUM COAL COMPANY INC,Terminated,Violation Identified,0,0,
TN,TN0063592,YES,PREMIUM COAL - REFUSE AREA 2,Terminated,No Violation Identified,0,0,
TN,TN0069159,YES,PREMIUM COAL MINE 5A,Terminated,Violation Identified,0,0,
TN,TN0069175,YES,NATIONAL COAL LLC - MINE 3B,Effective,SNC,738,27,
TN,TN0071307,YES,PREMIUM COAL - AREA #18,Terminated,No Violation Identified,0,0,
TN,TN0071803,YES,NATIONAL COAL LLC,Terminated,Unknown,0,0,
TN,TN0072168,YES,S & H MINING INC. - DEEP MINE 11,Expired,No Violation Identified,608,0,
TN,TN0072419,YES,S & H MINING INC. - DEEP MINE 12,Terminated,No Violation Identified,0,0,
TN,TN0072729,YES,NATIONAL COAL LLC,Terminated,No Violation Identified,0,0,
TN,TN0076180,YES,NATIONAL COAL LLC - DEEP MINE #10,Terminated,No Violation Identified,0,0,
TN,TN0076368,YES,PREMIUM COAL - REFUSE AREA #3,Terminated,No Violation Identified,0,0,
TN,TN0076376,YES,PREMIUM COAL/NATIONAL COAL - MINE 7,Expired,SNC,587,42,
TN,TN0079120,YES,NATIONAL COAL LLC,Terminated,Terminated Permit,0,0,
TN,TN0079294,YES,PREMIUM COAL - MINE 3,Effective,SNC,360,0,
TN,TN0079308,YES,PREMIUM COAL - MINE 4,Terminated,Terminated Permit,0,0,
TN,TN0079502,YES,NATIONAL COAL LLC - MINE 14,Terminated,Terminated Permit,136,0,
TN,TN0079529,YES,PREMIUM COAL - AREA #19,Terminated,No Violation Identified,0,0,
TN,TN0079561,YES,DEEP MINE 15,Expired,No Violation Identified,16,0,
TN,TN0079570,YES,PREMIUM COAL - AREA #20,Terminated,No Violation Identified,0,0,
TN,TNR059841,NO,,,,0,0,General permit - not tracked individually in ECHO
TN,TNR059842,NO,,,,0,0,General permit - not tracked individually in ECHO
TN,TNR059843,NO,,,,0,0,General permit - not tracked individually in ECHO
TN,TNR059844,NO,,,,0,0,General permit - not tracked individually in ECHO
